hr,steps,temp,calories
80,0,88.7,1.5
85,0,87.8,1.5
84,0,87.8,1.6
80,0,88.7,1.4
81,0,88.7,1.5
83,0,88.7,1.5
81,0,88.7,1.5
85,0,88.7,1.5
82,0,88.7,1.4
84,0,88.7,1.5
85,0,88.7,1.5
82,0,88.7,1.5
85,0,88.7,1.6
85,0,88.7,1.5
85,0,88.7,1.5
86,0,88.7,1.5
85,0,88.7,1.5
87,0,88.7,1.6
83,0,88.7,1.5
84,0,89.6,1.5
85,0,89.6,1.6
85,0,89.6,1.5
83,0,89.6,1.5
84,0,89.6,1.6
83,0,89.6,1.4
88,0,89.6,1.8
86,0,89.6,1.5
87,0,88.7,1.7
87,0,89.6,1.6
85,0,88.7,1.5
84,0,89.6,1.5
85,0,89.6,1.7
85,0,89.6,1.5
88,0,89.6,1.6
85,0,89.6,1.5
88,0,90.5,1.6
87,0,90.5,1.6
96,14,89.6,2.5
103,28,89.6,2.8
90,0,89.6,1.8
91,0,88.7,2
96,17,88.7,2.3
92,0,88.7,2.2
86,0,88.7,1.5
86,0,87.8,1.5
83,0,87.8,1.5
85,0,87.8,1.5
90,0,87.8,2
97,54,87.8,2.5
91,0,87.8,1.7
84,0,87.8,1.6
92,0,87.8,1.8
93,0,87.8,1.9
93,0,87.8,1.8
93,0,87.8,1.9
84,0,88.7,1.5
93,0,88.7,1.9
92,0,88.7,1.8
92,0,88.7,1.8
106,0,88.7,2.5
84,0,88.7,1.6
86,0,88.7,1.6
99,0,88.7,2.3
97,0,88.7,2.1
90,0,89.6,1.7
85,0,89.6,1.6
88,0,88.7,1.7
92,0,89.6,1.7
96,0,89.6,2.1
91,0,89.6,1.8
95,0,89.6,2
90,0,89.6,1.7
89,0,89.6,1.6
85,0,88.7,1.5
93,0,88.7,1.9
93,0,88.7,1.8
94,0,88.7,2
93,0,89.6,1.9
91,0,89.6,1.8
92,0,89.6,1.8
85,0,89.6,1.6
81,0,89.6,1.5
91,34,88.7,2
97,32,88.7,2.3
92,0,88.7,1.9
95,0,88.7,2
88,0,88.7,1.6
88,0,88.7,1.7
99,0,88.7,2.1
86,0,88.7,1.6
97,0,88.7,2.1
92,0,88.7,1.8
87,0,89.6,1.6
87,0,89.6,1.7
89,0,89.6,1.8
90,0,89.6,1.6
88,0,89.6,1.6
90,0,89.6,1.8
93,0,89.6,1.8
95,0,89.6,2
100,0,89.6,2.4
94,0,89.6,2
96,0,89.6,2.1
88,0,89.6,1.6
93,0,89.6,2
96,0,89.6,1.7
91,0,89.6,1.8
91,0,89.6,1.8
98,0,89.6,2.2
95,0,89.6,2
94,0,89.6,1.9
96,0,89.6,2.1
97,0,89.6,2.1
95,0,89.6,2
96,0,89.6,2
95,0,89.6,2
98,0,89.6,2.2
93,0,89.6,1.8
90,0,89.6,1.7
92,0,89.6,2
92,0,89.6,1.7
90,0,89.6,1.7
88,0,89.6,1.6
86,0,89.6,1.5
86,0,89.6,1.5
86,0,89.6,1.5
87,0,89.6,1.6
95,0,89.6,2
95,0,89.6,2
92,0,89.6,1.8
95,0,89.6,2
98,0,89.6,2.1
93,0,89.6,1.9
97,0,89.6,2.1
92,0,89.6,1.7
88,0,89.6,1.8
94,0,89.6,1.8
90,0,89.6,1.8
97,0,89.6,2.2
93,0,89.6,1.9
91,0,89.6,1.8
95,0,89.6,1.9
94,0,89.6,2
91,0,89.6,1.8
84,0,89.6,1.5
89,0,89.6,1.7
90,0,89.6,1.7
92,0,89.6,1.9
95,0,89.6,1.9
82,0,89.6,1.5
89,0,89.6,1.8
91,0,89.6,1.7
93,0,89.6,1.8
92,0,89.6,1.8
97,0,89.6,2.2
86,0,89.6,1.5
92,0,89.6,1.8
87,0,89.6,1.5
86,0,89.6,1.5
86,0,89.6,1.5
93,0,89.6,2
93,0,89.6,1.8
91,0,89.6,1.8
91,0,88.7,1.8
84,0,89.6,1.6
88,0,88.7,1.7
