hr,steps,gsr,calories,temp
94,0,5.89E-05,2,89.6
90,0,6.73E-05,1.8,88.7
92,0,5.60E-05,1.8,88.7
94,0,7.19E-05,2.1,88.7
95,0,6.54E-05,2,88.7
96,0,7.47E-05,2.1,89.6
94,0,7.19E-05,2,89.6
94,0,5.92E-05,2,89.6
91,0,6.02E-05,1.7,89.6
93,0,5.79E-05,1.9,89.6
95,0,5.73E-05,2.1,89.6
93,0,5.76E-05,1.9,89.6
98,0,5.92E-05,2.5,89.6
100,50,6.12E-05,2.6,90.5
95,32,6.26E-05,2.1,89.6
92,101,5.76E-05,2.2,89.6
100,41,5.19E-05,2.6,89.6
101,58,5.79E-05,2.8,89.6
114,73,6.02E-05,4.4,89.6
112,70,5.83E-05,4,88.7
100,19,5.67E-05,2.5,88.7
98,7,5.60E-05,2.2,88.7
108,0,5.79E-05,2.9,88.7
101,6,5.70E-05,2.6,88.7
99,8,5.70E-05,2.4,87.8
95,8,5.67E-05,2,87.8
95,0,5.60E-05,2.2,87.8
99,0,5.63E-05,2.3,87.8
103,0,5.60E-05,2.6,87.8
104,0,5.57E-05,2.8,87.8
105,0,5.57E-05,3,86.9
98,0,5.54E-05,2.3,86.9
95,0,5.57E-05,2.1,86.9
95,0,5.79E-05,1.9,87.8
94,0,6.40E-05,2,87.8
96,0,7.11E-05,2.1,87.8
97,0,6.76E-05,2.2,87.8
100,0,6.99E-05,2.4,87.8
104,0,7.68E-05,2.7,87.8
103,0,5.63E-05,2.6,87.8
98,0,5.83E-05,2.3,87.8
101,0,5.73E-05,2.6,88.7
99,0,5.70E-05,2.4,88.7
96,0,6.95E-05,2.2,88.7
100,0,6.58E-05,2.4,88.7
97,0,9.69E-05,2.2,88.7
95,0,8.63E-05,2,88.7
101,7,8.44E-05,2.6,88.7
99,47,6.88E-05,2.6,87.8
105,29,7.64E-05,3,88.7
88,86,5.79E-05,2.1,88.7
90,109,0.000129976,2.2,88.7
95,0,0.00012366,2.2,88.7
91,0,0.000108277,1.8,88.7
96,0,5.92E-05,2.2,88.7
97,0,7.03E-05,2.1,88.7
97,0,5.96E-05,2.3,88.7
94,0,5.96E-05,2,88.7
91,0,5.79E-05,1.8,88.7
89,0,9.80E-05,1.8,88.7
91,0,5.96E-05,1.8,89.6
96,0,0.000137373,2.2,89.6
94,0,6.47E-05,2,89.6
99,0,6.12E-05,2.3,89.6
103,0,0.000120284,2.8,89.6
93,0,5.73E-05,1.9,89.6
93,0,5.86E-05,1.9,88.7
94,0,5.96E-05,2,89.6
94,0,6.76E-05,1.9,89.6
93,0,5.99E-05,2,89.6
96,0,7.03E-05,2.1,89.6
96,0,9.17E-05,2.7,89.6
116,102,0.000100204,5.2,89.6
114,105,6.06E-05,4.3,89.6
106,59,9.64E-05,4.1,89.6
104,0,0.000117651,2.9,89.6
99,0,9.75E-05,2.5,89.6
98,0,0.000129976,2.3,89.6
99,0,0.000156889,2.4,89.6
98,0,8.77E-05,2.3,89.6
98,0,0.000210375,2.4,89.6
97,0,0.000318626,2.2,90.5
101,0,0.000303143,2.6,90.5
97,0,0.000304825,2.2,90.5
98,0,0.000217479,2.5,92.3
98,0,0.000223582,2.5,93.2
103,8,0.000179178,3,94.1
109,102,0.000672663,3.4,94.1
93,65,0.000794167,2.2,94.1
96,57,0.000235002,2.1,93.2
105,26,0.000147622,2.9,92.3
92,0,6.23E-05,1.9,91.4
87,0,0.000105322,1.8,91.4
104,45,0.000153454,2.8,91.4
97,0,0.000127835,2.3,90.5
99,0,0.000166738,2.4,90.5
97,50,0.000196856,2.4,90.5
96,0,0.00018833,2.2,90.5
99,0,0.000179178,2.4,90.5
97,21,0.00015776,2.4,90.5
100,10,0.000215085,2.6,89.6
102,22,0.000175254,2.7,89.6
106,17,0.000193614,3.4,89.6
96,0,0.000183189,2.2,89.6
97,0,0.000141228,2.3,89.6
98,0,0.000163087,2.5,89.6
102,0,7.73E-05,2.5,89.6
94,0,0.000213898,2.1,89.6
95,0,0.000218686,2.1,90.5
101,0,0.000309929,2.6,90.5
103,50,0.0002199,2.8,90.5
105,43,0.000131423,3.1,89.6
103,33,0.000120952,2.8,89.6
93,19,0.000205769,2.1,89.6
101,0,0.000247005,2.5,89.6
96,0,0.000306517,2.2,89.6
98,0,0.000181172,2.3,89.6
92,26,0.000318626,2.1,89.6
98,14,0.000248376,2.4,90.5
98,0,0.000226071,2.5,90.5
95,0,0.000316868,2.2,90.5
97,0,0.000248376,2.1,90.5
101,0,0.000251141,2.6,90.5
96,39,0.000121623,2.4,90.5
103,62,0.000411015,2.9,90.5
100,43,0.000408746,2.5,90.5
95,43,0.000164902,2.5,90.5
109,0,0.000145191,3.2,89.6
98,0,0.000402015,2.6,89.6
